,resnet50-0,resnet50-1,resnet50-2,resnet50-3
0,0,0,0,0
1,1,1,1,1
2,1,0,0,1
3,1,1,0,0
4,1,0,0,1
5,1,0,0,1
6,1,1,1,1
7,1,1,0,0
8,0,0,1,0
9,0,0,0,0
10,0,1,1,1
11,1,0,1,1
12,1,1,0,0
13,1,0,1,0
14,1,1,1,0
15,1,0,1,0
16,1,0,1,0
17,0,0,0,0
18,0,0,0,0
19,1,0,1,0
20,0,1,0,1
21,0,0,0,0
22,1,1,0,1
23,0,0,0,1
24,1,1,1,1
25,0,0,1,1
26,0,0,1,0
27,1,1,0,1
28,0,1,1,1
29,0,1,0,0
30,0,0,0,1
31,1,0,1,0
32,1,0,0,1
33,0,0,1,0
34,0,1,1,1
35,0,0,1,1
36,1,0,1,0
37,0,0,0,1
38,1,0,1,0
39,1,0,1,1
40,0,0,1,1
41,0,1,0,0
42,1,1,0,1
43,1,1,0,0
44,1,0,0,1
45,1,0,0,1
46,1,1,0,1
47,1,1,0,0
48,1,1,0,0
49,0,0,0,1
50,0,1,0,1
51,1,0,1,0
52,1,1,0,0
53,1,0,1,1
54,0,1,0,0
55,0,1,1,1
56,0,0,0,0
57,0,0,1,0
58,0,1,0,0
59,0,0,0,0
60,1,0,0,1
61,1,0,0,1
62,1,0,0,0
63,1,1,1,1
64,1,0,0,1
65,1,0,0,1
66,1,1,0,0
67,1,0,0,1
68,1,1,1,0
69,0,0,0,0
70,0,0,0,1
71,1,0,1,1
72,0,0,0,1
73,1,1,1,0
74,0,0,1,1
75,0,0,0,1
76,1,0,1,0
77,0,1,1,0
78,1,1,1,1
79,1,0,0,1
80,0,0,1,0
81,0,1,0,1
82,0,1,1,1
83,0,0,1,0
84,1,1,0,1
85,0,1,1,1
86,1,1,1,0
87,1,1,1,0
88,1,1,1,0
89,0,0,1,0
90,0,0,1,1
91,0,1,1,0
92,1,0,0,1
93,0,1,1,0
94,1,0,0,1
95,1,0,1,1
96,1,0,1,1
97,1,0,1,1
98,1,1,1,1
99,1,1,0,1
100,1,0,0,0
101,0,0,0,0
102,1,0,1,0
103,0,1,1,1
104,0,0,1,1
105,1,1,0,1
106,1,0,0,0
107,1,0,1,0
108,0,0,0,0
109,1,0,1,0
110,1,0,0,0
111,1,0,0,0
112,1,0,0,1
113,1,0,0,1
114,1,1,0,0
115,0,0,0,0
116,1,0,1,1
117,1,1,1,1
118,1,0,0,1
119,0,1,0,0
120,0,1,0,1
121,0,1,0,1
122,1,1,1,1
123,0,1,0,0
124,0,1,0,1
125,1,0,0,0
126,1,0,0,1
127,1,1,1,1
128,0,0,0,0
129,0,0,0,0
130,0,1,1,1
131,1,1,1,0
132,0,0,0,0
133,1,1,0,0
134,1,1,0,0
135,0,0,0,0
136,1,0,0,1
137,1,0,0,1
138,0,1,0,1
139,0,0,0,1
140,0,0,0,1
141,0,1,0,0
142,0,0,0,0
143,1,1,1,1
144,0,0,1,0
145,1,1,1,0
146,1,0,1,1
147,1,0,0,0
148,1,0,1,0
149,1,1,1,1
150,1,0,0,0
151,0,0,1,1
152,1,1,1,0
153,0,1,0,1
154,0,1,1,1
155,1,0,0,0
156,0,0,0,1
157,0,0,1,0
158,1,1,1,1
159,0,0,0,1
160,1,1,0,0
161,1,0,0,0
162,1,1,1,0
163,1,1,1,0
164,1,1,0,1
165,1,0,1,1
166,1,1,1,1
167,0,1,1,0
168,1,1,1,1
169,0,0,1,1
170,1,0,0,1
171,0,1,1,1
172,1,1,0,0
173,0,0,1,0
174,1,0,1,0
175,1,1,1,0
176,1,1,0,1
177,0,1,1,1
178,1,1,1,0
179,0,1,1,1
180,0,1,1,0
181,0,1,1,0
182,0,0,1,0
183,0,0,1,1
184,0,0,0,1
185,0,0,1,1
186,1,1,1,1
187,0,1,0,0
188,1,1,1,0
189,0,1,1,0
190,0,0,0,1
191,0,1,0,0
192,1,0,0,0
193,1,0,0,1
194,0,0,0,0
195,1,0,1,0
196,0,0,1,1
197,0,0,1,0
198,0,1,0,0
199,0,0,1,0
200,1,1,1,1
201,1,0,0,1
202,1,1,0,0
203,1,0,0,0
204,0,1,1,1
205,1,1,0,0
206,1,1,0,1
207,0,0,1,0
208,1,1,1,0
209,1,0,1,1
210,1,0,0,1
211,1,1,0,0
212,1,1,0,1
213,0,1,0,0
214,1,0,1,1
215,0,0,0,0
216,1,0,1,0
217,0,0,1,0
218,0,1,1,1
219,1,0,1,0
220,0,1,0,0
221,1,0,0,0
222,1,1,0,1
223,1,0,1,1
224,1,1,1,1
225,1,0,1,1
226,1,0,0,1
227,0,0,0,1
228,1,1,0,1
229,0,0,1,0
230,1,1,1,0
231,1,1,1,1
232,0,1,1,1
233,0,0,1,0
234,1,1,0,0
235,0,1,1,1
236,1,0,0,1
237,1,1,0,0
238,1,0,0,1
239,0,1,1,1
240,1,0,0,1
241,0,0,1,1
242,0,1,0,0
243,1,1,0,1
244,1,0,0,0
245,0,1,1,1
246,0,1,1,0
247,1,1,0,0
248,1,0,1,1
249,0,1,0,1
250,1,0,0,1
251,0,0,1,1
252,0,1,1,1
253,0,0,1,0
254,1,1,0,1
255,1,0,0,1
256,1,1,1,0
257,1,0,0,1
258,1,1,1,0
259,1,1,0,0
260,0,1,1,1
261,1,0,0,1
262,1,1,0,0
263,1,1,0,1
264,0,0,0,0
265,1,0,1,1
266,1,0,1,0
267,0,1,1,0
268,1,0,0,1
269,1,0,1,0
270,1,0,1,1
271,0,1,1,0
272,0,1,1,1
273,1,0,1,0
274,1,1,1,1
275,1,0,0,1
276,0,0,1,0
277,0,0,0,0
278,1,1,1,0
279,0,0,1,1
280,1,0,0,0
281,0,1,0,1
282,0,0,0,1
283,1,0,1,1
284,0,0,1,0
285,1,0,1,1
286,0,1,1,1
287,0,0,1,0
288,0,0,0,0
